pl_name,sy_snum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
LHS 1140 c,1,3.77793100,0.00000300,-0.00000300,0,0.026750,0.000700,-0.000700,0,1.282,0.024,-0.024,0,1.81000,0.39000,-0.39000,0,3216.00,39.00,-39.00,0,0.21,0.00,0.00,0,0.18,0.01,-0.01,0,14.9861000,0.0153000,-0.0152000
GJ 1214 b,1,1.58040456,0.00000016,-0.00000016,0,0.014110,0.000320,-0.000320,0,2.847,0.202,-0.202,0,6.26125,0.85814,-0.85814,0,3026.00,150.00,-150.00,0,0.22,0.01,-0.01,0,0.15,0.01,-0.01,0,14.6427000,0.0372000,-0.0372000
LHS 1478 b,1,1.94953780,0.00000400,-0.00000410,0,0.018480,0.000610,-0.000630,0,1.242,0.051,-0.049,0,2.33000,0.20000,-0.20000,0,3381.00,54.00,-54.00,0,0.25,0.01,-0.01,0,0.24,0.01,-0.01,0,18.2276000,0.0110000,-0.0110000
K2-25 b,1,3.48456408,0.00000060,-0.00000050,0,0.028700,0.001200,-0.001200,0,3.440,0.120,-0.120,0,24.50000,5.70000,-5.20000,0,3207.00,58.00,-58.00,0,0.29,0.01,-0.01,0,0.26,0.01,-0.01,0,44.9565000,0.1664000,-0.1653000
L 98-59 b,1,2.25311360,0.00000120,-0.00000150,0,0.021910,0.000800,-0.000840,0,0.850,0.061,-0.047,0,0.40000,0.16000,-0.15000,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 c,1,3.69067770,0.00000160,-0.00000260,0,0.030400,0.001100,-0.001200,0,1.385,0.095,-0.075,0,2.22000,0.26000,-0.25000,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 d,1,7.45072450,0.00000810,-0.00000460,0,0.048600,0.001800,-0.001900,0,1.521,0.119,-0.098,0,1.94000,0.28000,-0.28000,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
TOI-3884 b,1,4.54456970,0.00000940,-0.00000940,0,0.035400,0.001400,-0.001400,0,6.000,0.180,-0.180,0,16.50000,3.50000,-1.80000,0,3269.00,70.00,-70.00,0,0.30,0.01,-0.01,0,0.28,0.01,-0.01,0,43.1448000,0.1690000,-0.1678000
L 98-59 b,1,2.25310000,0.00040000,-0.00040000,0,0.022820,0.000080,-0.000080,0,0.800,0.050,-0.050,0,1.01000,,,1,3412.00,49.00,-49.00,0,0.31,0.01,-0.01,0,0.31,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 c,1,3.69040000,0.00030000,-0.00030000,0,0.031700,0.000100,-0.000100,0,1.350,0.070,-0.070,0,2.42000,0.35000,-0.34000,0,3412.00,49.00,-49.00,0,0.31,0.01,-0.01,0,0.31,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 d,1,7.45120000,0.00070000,-0.00070000,0,0.050600,0.000200,-0.000200,0,1.570,0.140,-0.140,0,2.31000,0.46000,-0.45000,0,3412.00,49.00,-49.00,0,0.31,0.01,-0.01,0,0.31,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
GJ 3929 b,1,2.61623500,0.00000500,-0.00000500,0,0.025200,0.000500,-0.000500,0,1.090,0.040,-0.040,0,1.75000,0.44000,-0.45000,0,3384.00,88.00,-88.00,0,0.32,0.01,-0.01,0,0.31,0.03,-0.02,0,15.8095000,0.0096000,-0.0095000
GJ 3929 b,1,2.61627450,0.00000290,-0.00000300,0,0.025690,0.000880,-0.000880,0,1.150,0.040,-0.039,0,1.21000,0.40000,-0.42000,0,3369.00,51.00,-51.00,0,0.32,0.01,-0.01,0,0.31,0.01,-0.01,0,15.8095000,0.0096000,-0.0095000
GJ 486 b,1,1.46711900,0.00003100,-0.00003000,0,0.017340,0.000260,-0.000270,0,1.305,0.063,-0.067,0,2.82000,0.11000,-0.12000,0,3340.00,54.00,-54.00,0,0.33,0.01,-0.01,0,0.32,0.01,-0.01,0,8.0742600,0.0040950,-0.0040950
TOI-2136 b,1,7.85191000,0.00004000,-0.00004000,0,0.054000,0.001000,-0.001000,0,2.090,0.080,-0.080,0,15.00000,,,1,3366.00,39.00,-41.00,0,0.34,0.01,-0.01,0,0.34,0.02,-0.02,0,33.3631000,0.0642500,-0.0642500
TOI-2136 b,1,7.85192500,0.00001600,-0.00001600,0,0.053300,0.001500,-0.001500,0,2.200,0.070,-0.070,0,4.70000,3.10000,-2.60000,0,3373.00,108.00,-108.00,0,0.34,0.01,-0.01,0,0.33,0.01,-0.01,0,33.3631000,0.0642500,-0.0642500
TOI-2136 b,1,7.85192800,0.00001800,-0.00001600,0,0.057000,0.006000,-0.006000,0,2.190,0.170,-0.170,0,6.37000,2.45000,-2.29000,0,3342.00,100.00,-100.00,0,0.34,0.02,-0.02,0,0.34,0.02,-0.02,0,33.3631000,0.0642500,-0.0642500
K2-146 b,1,2.66980000,0.00010000,-0.00010000,0,0.024800,0.000200,-0.000200,0,2.250,0.100,-0.100,0,5.60000,0.70000,-0.70000,0,3385.00,70.00,-70.00,0,0.35,0.04,-0.04,0,0.36,0.04,-0.04,0,79.3002000,0.4780000,-0.4723000
K2-146 c,1,3.96630000,0.00020000,-0.00002000,0,0.032700,0.000600,-0.000600,0,2.590,1.810,-0.390,0,7.10000,0.90000,-0.90000,0,3385.00,70.00,-70.00,0,0.35,0.04,-0.04,0,0.36,0.04,-0.04,0,79.3002000,0.4780000,-0.4723000
GJ 1252 b,1,0.51824160,0.00000069,-0.00000069,0,0.009150,0.000150,-0.000150,0,1.180,0.078,-0.078,0,1.32000,0.28000,-0.28000,0,3458.00,137.00,-137.00,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,20.3730000,0.0192000,-0.0192000
GJ 1252 b,1,0.51823490,0.00000630,-0.00000500,0,0.009160,0.000760,-0.000760,0,1.193,0.074,-0.074,0,2.09000,0.56000,-0.56000,0,3458.00,140.00,-133.00,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,20.3730000,0.0192000,-0.0192000
K2-18 b,1,32.93962300,0.00009500,-0.00010000,0,0.142900,0.006000,-0.006500,0,2.370,0.220,-0.220,0,8.92000,1.70000,-1.60000,0,3457.00,39.00,-39.00,0,0.41,0.04,-0.04,0,0.36,0.05,-0.05,0,38.0266000,0.0795500,-0.0795500
K2-18 b,1,32.93963000,0.00010000,-0.00010000,0,0.143000,0.006000,-0.006000,0,2.380,0.220,-0.220,0,7.96000,1.91000,-1.91000,0,3457.00,39.00,-39.00,0,0.41,0.04,-0.04,0,0.36,0.05,-0.05,0,38.0266000,0.0795500,-0.0795500
K2-18 b,1,32.94004500,0.00001000,-0.00001000,0,0.159100,0.000460,-0.000470,0,2.610,0.087,-0.087,0,8.63000,1.35000,-1.35000,0,3457.00,39.00,-39.00,0,0.44,0.01,-0.01,0,0.50,0.00,0.00,0,38.0266000,0.0795500,-0.0795500
GJ 436 b,1,2.64389524,0.00000076,-0.00000076,0,0.028870,0.000960,-0.000960,0,4.091,0.202,-0.202,0,23.42407,1.71628,-1.71628,0,3500.00,100.00,-100.00,0,0.45,0.03,-0.03,0,0.46,0.05,-0.05,0,9.7532100,0.0089800,-0.0089600
GJ 436 b,1,2.64385000,,,0,0.028720,0.000290,-0.000260,0,4.222,0.092,-0.103,0,23.16880,0.79450,-0.79450,0,3350.00,300.00,-300.00,0,0.46,0.01,-0.01,0,0.45,0.01,-0.01,0,9.7532100,0.0089800,-0.0089600
GJ 436 b,1,2.64389803,0.00000027,-0.00000025,0,0.030800,0.001300,-0.001200,0,4.100,0.160,-0.160,0,25.40000,2.10000,-2.00000,0,3416.00,100.00,-100.00,0,0.46,0.02,-0.02,0,0.56,0.07,-0.07,0,9.7532100,0.0089800,-0.0089600
TOI-1685 b,1,0.66914160,0.00000190,-0.00000190,0,0.011557,0.000092,-0.000092,0,1.459,0.065,-0.065,0,3.43000,0.93000,-0.93000,0,3461.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,37.6153000,0.0728000,-0.0725000
TOI-2285 b,1,27.26955000,0.00013000,-0.00010000,0,0.136300,0.001000,-0.001000,0,1.740,0.080,-0.080,0,19.50000,,,1,3491.00,58.00,-58.00,0,0.46,0.01,-0.01,0,0.45,0.01,-0.01,0,42.4090000,0.0470000,-0.0470000
